Establishment,Host,Neighbourhood,Latitude,Longitude,Room Type,Price,Duration,Total Reviews
Central London calm and stylish,Yannick,Lambeth,51.48542,-0.10783,Private room,150,2,0
Great house share,Nishaan,Newham,51.54295,0.01572,Private room,400,1,0
"Double bed, Central London (zone 2)",Hannah,Southwark,51.47431,-0.05637,Private room,27,14,19
2 Double Bed/2Bathroom - Shoreditch,Nafees,Tower Hamlets,51.52344,-0.07383,Entire home/apt,120,1,0
"LARGE 2 Bedroom, Clapham Junction",Rob,Wandsworth,51.45713,-0.16684,Entire home/apt,129,3,2
Charming Private Room in W. London,Laurence,Hounslow,51.50075,-0.28385,Private room,40,1,2
Spacious 1 bedroom flat,Alexandros,Camden,51.54608,-0.17636,Entire home/apt,72,8,0
Room in Dalston,Lasse,Hackney,51.54966,-0.07422,Private room,47,3,2
Boutique Central London Narrowboat,Sam,Richmond upon Thames,51.485,-0.28737,Entire home/apt,150,2,208
1 bed apt off Chiswick High Road,Nick,Hounslow,51.49267,-0.26334,Entire home/apt,110,1,0
Bright & Cosy double room by Sloane Square,Aida,Westminster,51.48848,-0.15035,Private room,74,1,65
"Private room for 2, close transport",Laura,Merton,51.4217,-0.187,Private room,50,1,0
Double Bedroom in center of London,Noé,Tower Hamlets,51.53007,-0.04391,Private room,25,1,1
Luxury Soho Loft,Joshua,Westminster,51.51318,-0.13237,Entire home/apt,170,2,3
Short Term Double Bedroom,Valentina,Lewisham,51.47699,-0.04797,Private room,35,1,0
Flat opposite the Tricycle Theatre,Christian,Camden,51.54325,-0.19925,Private room,34,2,11
The Factory,Rebecca,Tower Hamlets,51.51805,-0.06825,Private room,50,1,11
Stylish apartment near London Bridge.,J,Southwark,51.50096,-0.08416,Entire home/apt,150,2,0
Modern house in the HEART OF ESSEX,Stacey,Redbridge,51.60308,0.06965,Entire home/apt,500,1,0
Large double room in lovely house!,Georgie,Lambeth,51.43088,-0.12548,Private room,40,1,0
Large Double Bedroom - Ace Location,Anthony,Hackney,51.55088,-0.07689,Private room,30,1,3
Large Family House,Patrick,Wandsworth,51.44485,-0.20318,Entire home/apt,150,3,0
Perfect family house near Chelsea,Valery,Hammersmith and Fulham,51.47258,-0.20081,Entire home/apt,295,3,0
Spacious flat in trendy East London,Katherine,Tower Hamlets,51.52633,-0.06473,Entire home/apt,60,3,2
2 Bed Flat in August,Tim,Ealing,51.51034,-0.30026,Entire home/apt,90,2,0
Bright double bedroom with own bathroom in Hackney,Fabrizio,Hackney,51.55085,-0.05759,Private room,55,3,0
"Single Bed with Ensuite, Twickenham",Isabel,Richmond upon Thames,51.45216,-0.31304,Private room,40,2,52
Bright room in Battersea,Silvana,Wandsworth,51.47078,-0.17632,Private room,31,2,23
Lovely Double Room in Modern Flat inWest Hampstead,Smith & Family,Camden,51.54724,-0.19715,Private room,35,5,0
Large bedroom in trendy BrickLane,Maura,Tower Hamlets,51.51724,-0.0706,Private room,38,14,3
Two bed flat in great location,Emma,Kensington and Chelsea,51.492,-0.16385,Entire home/apt,120,1,0
"Period top floor flat, North London",Christopher,Hackney,51.54479,-0.0834,Entire home/apt,65,1,1
Wimbledon tennis getaway,Sarah,Wandsworth,51.44229,-0.21573,Entire home/apt,85,2,0
Large double bedroom in Islington,Lily,Islington,51.54926,-0.12239,Private room,40,1,0
Teddington nr Kingston SW LONDON,John,Richmond upon Thames,51.42191,-0.31569,Private room,50,5,7
Bright double room in Dalston,Rosie,Hackney,51.54436,-0.07954,Private room,24,1,4
Nice room in a live-in flat,Alina,Lambeth,51.48745,-0.11164,Private room,55,1,0
"Abbey Road, St Johns Wood, London",Helene,Westminster,51.53319,-0.17908,Entire home/apt,295,3,0
Quiet lovely room in apartment,Richard,Haringey,51.57683,-0.08882,Private room,19,1,2
Room in White City London - Large with fridge,Jay,Hammersmith and Fulham,51.51216,-0.23296,Private room,35,28,20
Big double room in Waterloo,Lorenzo,Lambeth,51.50256,-0.10758,Private room,59,1,0
Bright room on Broadway Market,Tino,Hackney,51.53587,-0.06113,Private room,33,1,2
Cool and cozy Home with great views!,David,Ealing,51.49792,-0.38293,Private room,32,2,6
Comfy Single Room Close to Central,Hua & Joel,Barnet,51.5682,-0.20405,Private room,18,14,32
AAA.coolest room in london,Vittorio,Hackney,51.54287,-0.07525,Private room,25,1,2
Hackney Apartment with garden,Tracy,Hackney,51.55898,-0.06174,Entire home/apt,55,3,0
Lovely room to rent,Hadidja,Brent,51.53249,-0.19514,Private room,50,1,0
Modern 1 bed flat Central London,Miguel,Southwark,51.50312,-0.09767,Entire home/apt,200,1,0
Unusual living space above studio,Magnus,Hackney,51.54339,-0.05633,Entire home/apt,50,10,4
Spacious room in Dalston,James,Hackney,51.55058,-0.0669,Private room,24,14,1
"Smart double room  with en-suite, Muswell Hill",,Haringey,51.60159,-0.15483,Private room,40,2,10
Modern 1 Bed Holloway Flat With Great Amenities,David,Islington,51.55307,-0.11372,Entire home/apt,120,2,18
Double bedroom by Oval SW9,Virginia,Lambeth,51.48217,-0.11248,Private room,60,3,30
Victorian terrace  in Peckham Rye,Lee,Southwark,51.4649,-0.06976,Entire home/apt,150,4,0
Double room,Kévin,Greenwich,51.49241,0.0188,Private room,30,1,0
Comfortable 1 bedroom flat,Amber,Hammersmith and Fulham,51.47994,-0.20196,Entire home/apt,76,1,0
"light room, big bed, West London",Nicholas,Richmond upon Thames,51.46728,-0.26895,Private room,26,4,54
Pleasant double bedroom,Gaynia,Harrow,51.61023,-0.29933,Private room,40,1,7
Large double in London Fields,Jelia,Hackney,51.538,-0.05713,Private room,45,1,0
Spacious room & ensuite bathroom near Wimbledon,Lyndsey,Wandsworth,51.45128,-0.20276,Private room,85,2,82
Modern flat on Regent's Canal,Luke,Tower Hamlets,51.52879,-0.04295,Entire home/apt,60,5,3
Single Room in Bow East London,Fraser,Tower Hamlets,51.53788,-0.02913,Private room,24,1,1
Large central London balcony flat - N1,Nadaav,Islington,51.54235,-0.09168,Entire home/apt,85,3,30
Cosy One Double Bed flat,Krishan,Westminster,51.52516,-0.20362,Entire home/apt,90,1,164
Cosy artists home for women travellers,Susannah,Southwark,51.47101,-0.07931,Private room,33,2,26
"Fresh, bright double bed & bathroom",Richard,Wandsworth,51.45274,-0.20238,Private room,55,2,47
Double Bedroom Shoreditch Zone 1 Central East,Jozef,Hackney,51.52908,-0.09375,Entire home/apt,92,1,49
2 Lovely Rooms at The Captain Cook,Susie,Hammersmith and Fulham,51.48113,-0.20934,Private room,135,1,19
4 bed house 3 mins from RWC stadium,Kelly,Richmond upon Thames,51.45488,-0.33424,Entire home/apt,600,3,0
"Huge light double, ensuite bathroom",Emily,Islington,51.53804,-0.11455,Private room,49,5,20
"TOP FLOOR SPACIOUS FLAT, CHELSEA",Dalia,Kensington and Chelsea,51.48454,-0.18497,Entire home/apt,110,5,9
Single room short let,Math,Wandsworth,51.46898,-0.15434,Private room,25,1,0
Cosy Apartment | Brick Lane,Thom,Tower Hamlets,51.5238,-0.06995,Entire home/apt,85,2,6
experience history in the HQ@RA....,Pranav,Greenwich,51.4927,0.07193,Entire home/apt,172,3,16
,Lily,Westminster,51.52928,-0.18343,Private room,45,1,0
Modern 2 bedroom garden apartment,Rupert,Hammersmith and Fulham,51.47813,-0.22265,Entire home/apt,200,6,9
Good location near Hyde Park,Yuan,Westminster,51.51606,-0.17708,Private room,41,1,0
Spacious 3bd family home nr Heath,Jessica,Camden,51.55485,-0.15058,Entire home/apt,150,5,1
Lovely double room in Battersea,Henrietta,Wandsworth,51.47243,-0.16876,Private room,53,3,8
Large family home with garden in East London,Stephen,Waltham Forest,51.58385,-0.00499,Entire home/apt,75,6,4
Spacious flat Maida Vale (1 room),James,Westminster,51.52817,-0.18932,Private room,50,1,0
Spacious flat Maida Vale(1 room),James,Westminster,51.52835,-0.19146,Private room,50,1,1
Spacious flat (Maida Vale) by Park!,James,Westminster,51.52921,-0.19177,Entire home/apt,125,1,1
1 Bedroom Garden Flat Angel London,Emy,Islington,51.5434,-0.08763,Entire home/apt,85,1,0
"Spacious double room, shared house",Drew,Hackney,51.55011,-0.03847,Private room,25,1,0
Large double room,Enzo,Brent,51.53922,-0.22152,Private room,30,10,0
"Pimlico SW1, Double Bed.",Alastair,Westminster,51.48666,-0.14262,Private room,30,1,2
Cosy flat close to Canary Wharf,Victoria,Tower Hamlets,51.48947,-0.02391,Private room,26,1,0
Two-bedroom flat in Wapping,Michał,Tower Hamlets,51.50561,-0.06839,Entire home/apt,120,2,15
Large Double Bedroom Central London,Kamal & Andra,Islington,51.52923,-0.10377,Private room,79,5,22
Large & bright flat available,Charlotte,Lewisham,51.44261,-0.03745,Entire home/apt,45,3,1
Spacious room & private bath near Wimbledon tennis,Lyndsey,Wandsworth,51.45198,-0.20226,Private room,85,3,36
Huge Double Room near Angel,Charlotte,Islington,51.52519,-0.10013,Private room,40,25,0
Cosy 3 bed garden maisonette,Peter,Hackney,51.57317,-0.07962,Entire home/apt,130,5,2
Beautiful room by Victoria park,Alice,Tower Hamlets,51.53478,-0.03862,Private room,25,1,0
Bright room in cool two bed flat,Roisin,Hackney,51.53943,-0.07638,Private room,35,1,0
Designer Loft in London zone 1,Jon,Southwark,51.49113,-0.10159,Entire home/apt,90,4,12
1 bedroom flat with a big garden,Yesim,Tower Hamlets,51.51594,-0.01666,Entire home/apt,60,1,0
Zone 2  Private Cottage (8 mins from tube),Rebecca,Westminster,51.53061,-0.20955,Entire home/apt,125,4,17
Spacious 2 bed room flat with private terrace,Anya,Ealing,51.50762,-0.25089,Entire home/apt,77,3,17
Double bedroom in cheerful Clapham,Brooks,Lambeth,51.46483,-0.13459,Private room,44,1,3
Double Bedroom in London,Andrew,Wandsworth,51.47588,-0.16026,Private room,45,1,0
Much Loved Designers Sanctuary,Mateusz,Lewisham,51.44704,-0.05605,Entire home/apt,53,4,35
Magnifique chambre - St John's wood,Nelly,Westminster,51.53472,-0.16869,Private room,40,6,0
"Double Ensuite Room, Richmond",Elizabeth,Richmond upon Thames,51.46169,-0.32661,Private room,52,2,56
Cosy home in heart of Shoreditch,Juliet,Islington,51.52372,-0.0854,Entire home/apt,85,5,6
Beautiful 2 bedroom mews cottage,Jane,Kensington and Chelsea,51.49355,-0.16616,Entire home/apt,250,3,3
Modern 3 bedroom home Barnes - SW13,Lucy,Richmond upon Thames,51.48491,-0.23962,Entire home/apt,150,3,0
"Secluded neighbourhood,  zone 3",Patrick,Ealing,51.50725,-0.25364,Entire home/apt,25,1,0
Great Flat in the Heart of Balham,Daniel,Wandsworth,51.43996,-0.14771,Entire home/apt,47,1,0
I am an optimist. It does not ...,Zadoque,Newham,51.55501,0.05627,Private room,55,1,0
ST - Ealing Broadway - Mount park - 2 Bedroom,Regina,Ealing,51.51159,-0.30549,Entire home/apt,228,3,24
Private room in cosy flat in London,Laura,Islington,51.56762,-0.12741,Private room,47,1,6
Beautiful Fulham Garden Apartment,Luke,Hammersmith and Fulham,51.48159,-0.21438,Entire home/apt,110,3,48
Luxury apartment on the river,Stephen,Wandsworth,51.48231,-0.15007,Entire home/apt,101,3,15
Hidden Gem with a Brazilian design,Laurent,Hammersmith and Fulham,51.47437,-0.19145,Entire home/apt,600,3,5
Cosy Double studio in Zone 2 Hammersmith (8),Boris,Hammersmith and Fulham,51.49406,-0.22954,Entire home/apt,50,1,65
Double room in gorgeous London flat,Olivia,Tower Hamlets,51.51359,-0.06267,Private room,40,2,10
Stylish 2 bed flat with en-suites in Shoreditch,Barclay,Hackney,51.52781,-0.08237,Entire home/apt,130,1,153
Sunny single room,Nora,Waltham Forest,51.59801,-0.02552,Private room,25,1,0
Big bright beautiful Brixton flat!,Ella,Lambeth,51.46111,-0.12303,Entire home/apt,75,2,3
Comfortable ensuite bedroom in a quiet residential area,Susan Joy,Bromley,51.41885,0.07716,Private room,35,3,0
Hackney Master Bedroom,Lorenzo,Hackney,51.55051,-0.04776,Private room,41,1,7
mayaview,Alam,Merton,51.41542,-0.22531,Private room,65,3,0
"3 bedroom flat,West Kensington",Paola,Kensington and Chelsea,51.49462,-0.2047,Entire home/apt,125,2,3
Bright room in quiet LGBT Home,Naomi,Lewisham,51.42865,-0.01381,Private room,30,2,11
Cat lover's house.  Private ensuite,Hugh,Wandsworth,51.44559,-0.15736,Private room,45,1,0
Beautiful self-contained apartment,Katja,Lewisham,51.42748,-0.05877,Private room,65,2,69
"Centrally located, gorgeous view",Jinny,Westminster,51.52227,-0.19476,Entire home/apt,130,4,68
"Private Studio flat, Balcony+ Great view!",Francesca,Hackney,51.5547,-0.03623,Private room,45,5,58
Comfortable private room female only,Shantella,Ealing,51.50724,-0.35064,Private room,39,2,24
Richmond Park Flat,Victoria,Richmond upon Thames,51.46027,-0.28737,Entire home/apt,100,1,0
Female Shared Twin Room w/Wi-Fi (b),LHA London - Belvedere House,Kensington and Chelsea,51.49461,-0.18577,Shared room,29,1,33
Fulham centre beautiful ensuit room,Tina,Hammersmith and Fulham,51.47766,-0.19494,Private room,30,3,3
A second double bedroom,Shelley,Croydon,51.41922,-0.11761,Private room,28,1,4
"Modern, zone 1, Central London",Louise,City of London,51.51597,-0.11084,Entire home/apt,99,1,1
Cosy double room in Hackney Central,Olly,Hackney,51.55171,-0.0547,Private room,25,1,2
Male Shared Twin room w/Wi-Fi (b),LHA London - Belvedere House,Kensington and Chelsea,51.49648,-0.18613,Shared room,29,1,14
Lovely two bedroom garden flat,Charlotte,Hammersmith and Fulham,51.47132,-0.18851,Entire home/apt,95,1,3
Male Shared Triple Room w/Wi-Fi,LHA London - Belvedere House,Kensington and Chelsea,51.49442,-0.18489,Shared room,17,1,15
Rathbone Place Apartments - Twin Room,Britannia,Westminster,51.5169,-0.13375,Private room,70,7,3
Male Shared Dorm Room w/Wi-Fi,LHA London - Belvedere House,Kensington and Chelsea,51.49671,-0.18611,Shared room,25,1,9
Lovely 1 Double Bedroom Flat,Georgina,Lambeth,51.45721,-0.12135,Entire home/apt,86,2,19
Very spacious room in leafy Camberwell,Isabelle,Lambeth,51.47136,-0.09314,Private room,53,7,80
Large Modern Studio Flat w Balcony,Alexandra,Lewisham,51.47275,-0.02182,Entire home/apt,69,7,1
double room for adam,Alastair,Westminster,51.48685,-0.14268,Private room,30,1,1
Notting Hill modern apartment,Paris,Kensington and Chelsea,51.51733,-0.21093,Entire home/apt,400,1,19
"Cute 2 bed house, garden & offstreet parking",Katherine,Southwark,51.49161,-0.06588,Entire home/apt,107,2,42
Double/private shower room/free parking/Blackheath,Elena,Lewisham,51.46424,0.00577,Private room,35,1,50
Family Home in Trendy Hackney,Rob,Hackney,51.55733,-0.04406,Entire home/apt,85,3,1
Large double Room East Ham,Shane,Newham,51.53233,0.05288,Private room,70,1,0
Loft bedroom with ensuite shower/wc,Pragna,Harrow,51.59315,-0.30439,Private room,35,5,5
Not available.,Christina,Ealing,51.51144,-0.24982,Entire home/apt,170,50,12
Riverside flat with beautiful view,Silvia,Hackney,51.56449,-0.04933,Entire home/apt,50,1,0
Double bedroom in Converted Warehouse,Johannes,Hackney,51.54531,-0.02515,Private room,35,1,1
"Wonderful, Modern Two-Bed in Trendy Mile End",Xinyao,Tower Hamlets,51.52933,-0.04292,Entire home/apt,85,2,23
Spacious Garden Flat near Westfield,Emma,Hammersmith and Fulham,51.50798,-0.23277,Entire home/apt,90,3,6
Large Peaceful Clean Room (SW166BW),Paria,Wandsworth,51.42317,-0.14151,Private room,60,1,0
Luxury room next to Hyde Park,Irena,Westminster,51.51394,-0.17917,Private room,110,3,0
Penthouse Brentford (River Side bedroom),Kass,Hounslow,51.48423,-0.3021,Private room,25,30,16
Tower Bridge Apartment,Tamara,Southwark,51.49471,-0.08506,Entire home/apt,100,3,12
Luxury 2-Bed Marylebone Georgian House with Private Garden & Office,James & Kate,Westminster,51.52332,-0.16686,Entire home/apt,331,3,62
Chic Designer Penthouse with Sunny Private Terrace in Trendy Oval/Kennington,Rob,Lambeth,51.4765,-0.10652,Entire home/apt,159,3,38
Spacious bedroom near Hyde Park,Max,Westminster,51.5185,-0.16894,Private room,52,3,5
Lovely & Quiet in Central London,Havana,Islington,51.53986,-0.0974,Entire home/apt,75,5,28
Cosy Room Walthamstow Central,Massimiliano,Waltham Forest,51.58471,-0.02015,Private room,40,1,0
Awesome 1 br apartment Victoria,Astrid,Westminster,51.4917,-0.13903,Entire home/apt,130,2,2
NOT AVAILABLE - DO NOT BOOK,Elin Haf,Hackney,51.54623,-0.06714,Private room,67,2,10
Peckham Penthouse - 2 bedrooms & huge roof terrace,Patricia,Southwark,51.47949,-0.08256,Entire home/apt,80,28,2
Apartment for two in the Heart of Shoreditch,Julia,Tower Hamlets,51.52611,-0.07446,Entire home/apt,105,2,31
15 min to central london,Annie,Greenwich,51.45903,0.03406,Private room,65,1,0
2 Bed city apartment,James,Tower Hamlets,51.5184,-0.07676,Entire home/apt,121,1,14
Ideal flat for the RUGBY WORLD CUP!,Paddy,Richmond upon Thames,51.46794,-0.28654,Entire home/apt,200,3,0
Beautiful old cottage,Gavin,Greenwich,51.48504,0.00823,Entire home/apt,180,2,0
*Unusual Unique Experience - Central Location*,Katherin,Westminster,51.48946,-0.13794,Private room,67,1,236
London Euston / St Pancras APT Cosy with Free WiFi,Mark,Camden,51.52864,-0.12782,Entire home/apt,199,2,83
"SINGLE ROOM WESTBOURNE PARK, LONDON",William,Kensington and Chelsea,51.52287,-0.20429,Private room,49,4,0
"Modern, stylish flat with great transport links!",Chloé,Enfield,51.61192,-0.13521,Entire home/apt,100,2,4
Double bedroom warehouse conversion,Aitor,Tower Hamlets,51.51223,-0.06499,Entire home/apt,140,2,6
"Double room tierney rd, Brixton hil",Leon,Lambeth,51.44428,-0.12849,Private room,40,1,0
"Self-contained, Studio Garden Flat, King Sized Bed",John,Islington,51.5372,-0.08897,Entire home/apt,100,3,3
4 Bed House in Chiswick less than 5,Rachel,Ealing,51.49722,-0.27224,Entire home/apt,250,1,0
"Room in House in Crouch End, London",Heidi,Haringey,51.57438,-0.12852,Private room,45,1,0
Private Double Room,Mario,Hounslow,51.46725,-0.35633,Private room,28,2,23
rooms to rent ideal for Twickenham,Tatjana,Hounslow,51.474,-0.33908,Private room,40,1,22
Private Room East London Warehouse,Devika,Tower Hamlets,51.5126,-0.0663,Private room,50,2,1
"Family home, 20min from London Victoria",Vicky,Bromley,51.41914,-0.05473,Entire home/apt,240,2,21
Modern 3 bedroom garden apartment,Quezia,Wandsworth,51.45492,-0.1899,Entire home/apt,90,5,1
cosy double bedroom,Arya,Southwark,51.4776,-0.06544,Private room,26,4,0
Spacious room in St Margarets home.,Philippa,Richmond upon Thames,51.45116,-0.32271,Private room,39,3,0
Spacious 2 Bedroom Notting Hill,Thomas,Westminster,51.51442,-0.1946,Entire home/apt,139,1,4
2 Bed 2 Bath  House close to Station/Shops,William,Merton,51.41357,-0.18511,Entire home/apt,100,90,9
Fantastic 4 Bedroom house in Crystal Palace,Christian,Croydon,51.41334,-0.0833,Entire home/apt,140,3,186
Near Twickenham Stadium!,Sue,Richmond upon Thames,51.45003,-0.35427,Private room,75,1,3
"Stylish, bright & spacious room",Laurence,Bromley,51.38292,0.09753,Private room,25,1,113
One double Bed Room,Mathew,Newham,51.52245,0.03061,Private room,75,1,0
Double Bedroom - Luxury Apartment,Thomas,Kensington and Chelsea,51.5135,-0.19507,Private room,90,2,0
"Best location, Double Ensuite Room",Caroline,Southwark,51.49939,-0.08295,Private room,55,1,0
Lovely 1 Bed flat with Roof Terrace,Will & Lucie,Hammersmith and Fulham,51.4808,-0.20355,Entire home/apt,89,4,6
One bedroom flat in London Bridge,Theo,Southwark,51.49875,-0.0955,Entire home/apt,69,3,2
Dble Room near Clapham & Brixton,Emma,Lambeth,51.46184,-0.12592,Private room,40,1,0
Cosy Single Bedroom in Westminster,Enrico,Westminster,51.52412,-0.16606,Private room,32,1,405
Luxury flat next to Olympic park,Mark,Newham,51.53882,-0.00108,Private room,50,1,0
Classic and Cosy Central London pad,Caroline,Westminster,51.48826,-0.14322,Entire home/apt,120,3,102
Luxury Designer Retreat in Renovated Victorian Warehouse,Jacqueline,Southwark,51.50301,-0.09424,Entire home/apt,195,2,133
Nice flatshare in Brick Lane,Camille,Tower Hamlets,51.51907,-0.07248,Private room,30,14,1
Modern Apartment with Guest Ensuite,Jake,Islington,51.52469,-0.09735,Private room,65,1,72
East End Gem on Victoria Park,Tamara,Tower Hamlets,51.53624,-0.03655,Entire home/apt,70,1,1
Super sexy suite in hip Camden flat,Ollie,Camden,51.53646,-0.13666,Private room,37,1,0
Bright Spacious Room in Shoreditch,Kirk,Hackney,51.53058,-0.08269,Private room,53,3,2
Cosy Double bedroom very central,Sean,Lambeth,51.48433,-0.11316,Private room,46,1,1
trendy 1.5 bedroom in shoreditch,Bobby,Hackney,51.52331,-0.07661,Entire home/apt,124,3,37
Charming 1 Bed Apt near King’s Cross and Angel N1,Lara,Islington,51.5416,-0.11511,Entire home/apt,80,3,109
Stylish Notting Hill flat w/ garden,Madeleine,Kensington and Chelsea,51.51491,-0.20657,Entire home/apt,129,2,1
Central modern ensuite  room,Rachel,Westminster,51.52309,-0.16787,Private room,50,4,0
Lovely doubl room with private bathroom,Tabby,Lewisham,51.48108,-0.04525,Private room,40,14,16
Spacious 1 Bedroom Victorian Garden Flat,Iona,Lambeth,51.45921,-0.11333,Entire home/apt,159,2,4
Amazing one bed flat in poplar,Nancy,Tower Hamlets,51.51581,-0.01493,Private room,80,1,1
Cosy Studio in Hackney,Martynas,Hackney,51.54731,-0.06904,Entire home/apt,50,2,10
3 bed terrace in quiet residential,Hannah,Haringey,51.5922,-0.08582,Entire home/apt,100,5,1
Adorable flat near London City Airp,Magda,Newham,51.50822,0.07232,Entire home/apt,49,4,1
Lovely Edwardian House close 2 Central London,Caroline,Haringey,51.60765,-0.12347,Entire home/apt,160,5,2
Double Bed Room in Dalston,Tom,Hackney,51.54343,-0.07181,Private room,24,1,1
Muswell Hill town house,Vonda,Barnet,51.60412,-0.14423,Entire home/apt,130,7,0
Professional house share in SE,Hanna,Lewisham,51.44634,-0.03171,Private room,45,2,0
Lovely 2 bed at Garrick Street - CG08,Stayo,Westminster,51.51221,-0.12457,Entire home/apt,256,1,122
"A cosy, boutique one bed in Chelsea",Aurelia,Hammersmith and Fulham,51.4769,-0.19193,Entire home/apt,85,1,10
Zone 2 apartment by Finsbury Park!,Bryn,Hackney,51.56898,-0.09595,Entire home/apt,53,1,22
Gorgeous Sunny Garden-view room,Daniel,Southwark,51.45222,-0.06215,Private room,35,1,2
1 Bed Apt with Wifi nr Columbia Road Flower Market,Karen,Tower Hamlets,51.5296,-0.06689,Entire home/apt,99,3,184
Large Private Room in a Shared house.,Prabhjot,Hounslow,51.43948,-0.37995,Private room,35,1,0
Beautiful house in historic square,Diana,Lambeth,51.46526,-0.14114,Entire home/apt,185,5,13
Studio in a house in Seven Sisters,Ana,Haringey,51.57748,-0.07109,Entire home/apt,50,1,2
Well located room in London NW11,Caroline,Barnet,51.57957,-0.20776,Private room,35,3,56
"Beautiful, Spacious Studio in trendy Kensal Green",Frederique,Brent,51.53084,-0.22109,Entire home/apt,65,3,12
Victorian double/twin room in trendy Stokey,Richard,Hackney,51.56486,-0.07272,Private room,35,1,47
Big flat next to Euston Station,Freddy,Camden,51.53063,-0.13002,Private room,50,1,2
One bed apt with London view,Klara,Islington,51.55233,-0.11045,Entire home/apt,100,2,3
Large room in Clapham!,Hannah,Wandsworth,51.44743,-0.15174,Private room,70,1,0
Quiet leafy double room,Christopher,Haringey,51.57889,-0.14659,Private room,38,3,0
RARE FIND Designer Studio Flat Trendy East London,Marina,Tower Hamlets,51.53194,-0.06415,Entire home/apt,100,4,11
Large Double Room in Chelsea,Sibel,Kensington and Chelsea,51.48058,-0.18135,Private room,90,1,0
Sunny 2Bed Balcony Flat with River & Nature + Gym,Nathalie,Hackney,51.55528,-0.03689,Entire home/apt,83,4,15
Charming appartment 2min Nothing Hill/Portobello,Pierre,Kensington and Chelsea,51.51387,-0.19854,Entire home/apt,160,3,0
bright double room with double bed,Maurizio,Islington,51.54577,-0.0869,Private room,35,2,42
Modern Central London (zone 1) Flat,Josh,Southwark,51.49147,-0.09879,Entire home/apt,69,1,1
Shoreditch Penthouse,Jonathon,Hackney,51.53809,-0.08019,Entire home/apt,65,1,2
"Fun, clean, sociable, political",Sapphire,Tower Hamlets,51.51694,-0.0642,Private room,80,1,0
Spacious apt perfect for couples,Doone,Hammersmith and Fulham,51.48649,-0.21536,Private room,69,1,1
Room to rent,Faiza,Redbridge,51.57664,0.05033,Private room,70,1,0
"Great, central location!",Jonathan,Islington,51.54311,-0.09177,Entire home/apt,75,5,0
A converted loft double room,Satwinda,Redbridge,51.57398,0.01954,Private room,25,2,3
1 bedroom Shoreditch London,Nick,Hackney,51.52799,-0.07768,Private room,58,2,0
Beautiful Apartment and Studio,Daniel,Lewisham,51.47382,-0.03425,Entire home/apt,64,6,3
Cosy studio in a lively area,Thomas,Hackney,51.56882,-0.06952,Entire home/apt,30,1,2
Twin room two guest for minimum two nights.,Santosh,Greenwich,51.48319,0.06986,Shared room,60,1,1
Double room in Fulham mansion flat,David,Hammersmith and Fulham,51.47265,-0.21463,Private room,80,3,15
Dble Bed in house 5 mins walk tube in good area.,Danny,Barnet,51.57763,-0.19673,Private room,50,1,11
Gorgeous Double in Cool Location,Louisa,Hackney,51.54039,-0.05705,Private room,43,1,0
Amazing view flat in East London,Guillaume,Hackney,51.54683,-0.07633,Entire home/apt,102,2,6
Double Bed in friendly Artist Home,Jack,Southwark,51.47879,-0.07456,Private room,21,2,3
Fantastic 1 bed Unit in Earls Court,Sebastian,Kensington and Chelsea,51.49371,-0.19271,Entire home/apt,84,3,111
"Double Bedroom, ensuit & park views",Paul,Richmond upon Thames,51.45258,-0.3255,Private room,204,2,0
Penthouse apartment with terrace,Andrej,Tower Hamlets,51.50793,-0.02638,Entire home/apt,89,3,0
Big room for 1-2 people beside tube,Paul,Haringey,51.59254,-0.10783,Private room,21,5,1
King size room in hackney.,Michael,Hackney,51.53584,-0.06752,Private room,60,1,0
"Double Room, bright and spacious",Giulia,Hackney,51.56955,-0.06668,Private room,20,1,0
"Bright DOUBLE ROOM, central LONDON",Tommaso,Tower Hamlets,51.51979,-0.05446,Private room,45,1,7
Stunning Flat for Rugby WC 2015,George,Hounslow,51.48257,-0.30886,Private room,246,1,0
SuprbContryHouse/BlueRoom/20minCity,Joyce,Croydon,51.36992,-0.06749,Private room,81,7,9
"Arty, Spacious, and Clean Room",Ted,Southwark,51.47268,-0.07578,Private room,20,1,1
"EAST London, Zone 2, spacious flat nr Hackney Wick",Nat,Tower Hamlets,51.53005,-0.02392,Private room,41,6,50
Huge lovely double in East London,Lawrie,Tower Hamlets,51.52209,-0.05946,Private room,45,1,0
"Modern, Spacious 1-Bedroom Flat in SE London",Michael,Southwark,51.47517,-0.0974,Entire home/apt,68,2,11
Large Classic Victorian House,Jeremy,Haringey,51.56961,-0.10809,Entire home/apt,199,4,0
Bright Spacious Front Double Garden Close 2 Centre,Kai,Lewisham,51.47215,-0.03315,Private room,49,2,56
FEMALES ONLY - Larger than average single room,Jackie,Bromley,51.40308,0.02732,Private room,21,1,1
Cosy and light studio with terrace.,Jonathan & Susi,Camden,51.53829,-0.14879,Entire home/apt,100,2,1
Room Available in a cousy property,Sandra,Lewisham,51.46345,-0.03216,Private room,60,2,0
Twickenham new one bed garden flat,Hayley,Richmond upon Thames,51.44606,-0.34051,Entire home/apt,68,7,4
Stylish clean comfy room £35 no extra charges!,Kathy,Westminster,51.53069,-0.20359,Private room,36,1,30
Cosy flat near Portobello road,Nick,Kensington and Chelsea,51.52117,-0.20247,Entire home/apt,65,2,4
